Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121309-86244,TE,Pat,Pat Freiermuth,Freiermuth,3.3333333333333335,3,4900,CLE@PIT,PIT,CLE,,,,,,TE/FLEX
121309-90533,RB,Jerome,Jerome Ford,Ford,3.5,5,4900,CLE@PIT,CLE,PIT,,,,,,RB/FLEX
121309-114198,WR,Xavier,Xavier Legette,Legette,4.299999872843425,3,4900,DAL@CAR,CAR,DAL,,,,,,WR/FLEX
121309-29501,WR,Brandin,Brandin Cooks,Cooks,3.2599998474121095,5,4900,NE@NO,NO,NE,,,,,,WR/FLEX
121309-137059,RB,Sean,Sean Tucker,Tucker,0.3200000047683716,5,4900,SF@TB,TB,SF,,,,,,RB/FLEX
121309-56265,TE,Mike,Mike Gesicki,Gesicki,2.0200000762939454,5,4900,CIN@GB,CIN,GB,,,,,,TE/FLEX
121309-185593,WR,Andrei,Andrei Iosivas,Iosivas,5.200000127156575,3,4800,CIN@GB,CIN,GB,,,,,,WR/FLEX
121309-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,8.5,4,4800,CLE@PIT,PIT,CLE,,,,,,DEF
121309-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,2.4200000762939453,5,4800,SF@TB,SF,TB,,,,,,RB/FLEX
121309-88548,WR,Jalen,Jalen Tolbert,Tolbert,3.4200000762939453,5,4800,DAL@CAR,DAL,CAR,,,,,,WR/FLEX
121309-137967,RB,Blake,Blake Corum,Corum,4.340000152587891,5,4800,LAR@BAL,LAR,BAL,,,,,,RB/FLEX
121309-86811,TE,Cade,Cade Otton,Otton,4.125,4,4800,SF@TB,TB,SF,,,,,,TE/FLEX
121309-92976,WR,Tutu,Tutu Atwell,Atwell,4.8799999237060545,5,4800,LAR@BAL,LAR,BAL,,,,,,WR/FLEX
121309-174245,WR,Isaiah,Isaiah Bond,Bond,3.3599998474121096,5,4700,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
121309-87260,TE,Isaiah,Isaiah Likely,Likely,1.7000000476837158,1,4700,LAR@BAL,BAL,LAR,,,,,,TE/FLEX
121309-52451,RB,Samaje,Samaje Perine,Perine,1.2,5,4700,CIN@GB,CIN,GB,,,,,,RB/FLEX
121309-88297,TE,Chig,Chig Okonkwo,Okonkwo,5.1400001525878904,5,4700,TEN@LV,TEN,LV,,,,,,TE/FLEX
121309-151789,WR,Adonai,Adonai Mitchell,Mitchell,3.0399999618530273,5,4700,ARI@IND,IND,ARI,,,,,,WR/FLEX
121309-12550,D,Seattle,Seattle Seahawks,Seahawks,9.6,5,4700,SEA@JAC,SEA,JAC,,,,,,DEF
121309-152103,RB,Jaylen,Jaylen Wright,Wright,1.9384615971491888,13,4700,LAC@MIA,MIA,LAC,,,,,,RB/FLEX
121309-57986,WR,Hunter,Hunter Renfrow,Renfrow,5.44000015258789,5,4700,DAL@CAR,CAR,DAL,,,,,,WR/FLEX
121309-134837,WR,Tory,Tory Horton,Horton,7.959999847412109,5,4700,SEA@JAC,SEA,JAC,,,,,,WR/FLEX
121309-47870,TE,Tyler,Tyler Higbee,Higbee,3.066666603088379,3,4700,LAR@BAL,LAR,BAL,Q,Hip,,,,TE/FLEX
121309-60451,TE,Tyler,Tyler Conklin,Conklin,2.75,4,4600,LAC@MIA,LAC,MIA,,,,,,TE/FLEX
121309-28744,RB,Raheem,Raheem Mostert,Mostert,5,2,4600,TEN@LV,LV,TEN,,,,,,RB/FLEX
121309-111876,WR,DeMario,DeMario Douglas,Douglas,3.2249999046325684,4,4600,NE@NO,NE,NO,,,,,,WR/FLEX
121309-89627,WR,Brycen,Brycen Tremayne,Tremayne,3.825000047683716,4,4600,DAL@CAR,CAR,DAL,,,,,,WR/FLEX
121309-104012,WR,Ashton,Ashton Dulin,Dulin,2.575000047683716,4,4600,ARI@IND,IND,ARI,,,,,,WR/FLEX
121309-172646,RB,Trevor,Trevor Etienne,Etienne,1.1600000381469726,5,4600,DAL@CAR,CAR,DAL,,,,,,RB/FLEX
121309-201547,WR,Jalen,Jalen Coker,Coker,6.6299997965494795,12,4600,DAL@CAR,CAR,DAL,IR,Quadriceps,,,,WR/FLEX
121309-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,1.5333333015441895,3,4600,LAC@MIA,MIA,LAC,,,,,,WR/FLEX
121309-91101,TE,Tommy,Tommy Tremble,Tremble,4.1400001525878904,5,4600,DAL@CAR,CAR,DAL,,,,,,TE/FLEX
